Lane	Project	Sample	Sample_bam	Grouping	Virus	Day	Tissue	PF_Clusters	RIN	fastp_after_trimming_reads 	STAR_uniquely_mapped_reads	STAR_multi_mapped_reads	 STAR_total_mapped_reads	STAR_no_mapped_reads	FeatureCount_Assigned	FeatureCount_Unassigned_NoFeatures	FeatureCount_Unassigned_Ambiguity	Picard_PERCENT_DUPLICATION	Picard_PF_BASES	Picard_PF_ALIGNED_BASES	Picard_CODING_BASES	Picard_UTR_BASES	Picard_INTRONIC_BASES	Picard_INTERGENIC_BASES	Picard_CORRECT_STRAND_READS	Picard_INCORRECT_STRAND_READS	Picard_PCT_CODING_BASES	Picard_PCT_UTR_BASES	Picard_PCT_INTRONIC_BASES	Picard_PCT_INTERGENIC_BASES	Picard_PCT_MRNA_BASES	Picard_PCT_CORRECT_STRAND_READS
3	Dr_Sato	230323_Novaseq_S4_TruseqUD_l3_0017_A03_Dr_Sato_17_5dpi_BANAL_309_h	bam.230323_Novaseq_S4_TruseqUD_l3_0017_A03_Dr_Sato_17_5dpi_BANAL_309_h_S17.230323_Novaseq_S4_TruseqUD_l3_0017_A03_Dr_Sato_17_5dpi_BANAL_309_h_S17_Aligned.out.bam	BANAL-236_Hilum_5dpi	BANAL-236	5dpi	Hilum	"53,294,513"	8.6 	"46,790,393 "	"41,054,703 "	"1,636,401 "	"42,691,104 "	"4,099,289 "	"38,548,605 "	"2,461,993 "	"43,419 "	61.67%	"12,887,951,294 "	"11,144,521,423 "	"6,405,431,616 "	"4,028,581,030 "	"301,868,627 "	"408,640,150 "	"39,139,201 "	"226,736 "	57.48%	36.15%	2.71%	3.67%	93.62%	99.42%
3	Dr_Sato	230323_Novaseq_S4_TruseqUD_l3_0018_B03_Dr_Sato_18_5dpi_BANAL_310_h	bam.230323_Novaseq_S4_TruseqUD_l3_0018_B03_Dr_Sato_18_5dpi_BANAL_310_h_S18.230323_Novaseq_S4_TruseqUD_l3_0018_B03_Dr_Sato_18_5dpi_BANAL_310_h_S18_Aligned.out.bam	BANAL-236_Hilum_5dpi	BANAL-236	5dpi	Hilum	"40,774,241"	8.6 	"35,247,397 "	"31,376,878 "	"1,321,194 "	"32,698,072 "	"2,549,325 "	"29,076,923 "	"2,272,150 "	"27,388 "	71.17%	"9,574,155,314 "	"8,407,591,630 "	"4,311,597,998 "	"3,456,918,690 "	"280,419,831 "	"358,655,111 "	"29,561,120 "	"202,858 "	51.28%	41.12%	3.34%	4.27%	92.40%	99.32%
3	Dr_Sato	230323_Novaseq_S4_TruseqUD_l3_0019_C03_Dr_Sato_19_5dpi_BANAL_311_h	bam.230323_Novaseq_S4_TruseqUD_l3_0019_C03_Dr_Sato_19_5dpi_BANAL_311_h_S19.230323_Novaseq_S4_TruseqUD_l3_0019_C03_Dr_Sato_19_5dpi_BANAL_311_h_S19_Aligned.out.bam	BANAL-236_Hilum_5dpi	BANAL-236	5dpi	Hilum	"41,347,614"	7.8 	"35,583,089 "	"31,085,582 "	"1,801,124 "	"32,886,706 "	"2,696,383 "	"28,979,989 "	"2,073,600 "	"31,453 "	83.52%	"9,524,770,738 "	"8,192,153,194 "	"3,856,058,937 "	"3,779,826,397 "	"184,824,196 "	"371,443,664 "	"31,340,860 "	"253,239 "	47.07%	46.14%	2.26%	4.53%	93.21%	99.20%
3	Dr_Sato	230323_Novaseq_S4_TruseqUD_l3_0020_D03_Dr_Sato_20_5dpi_BANAL_312_h	bam.230323_Novaseq_S4_TruseqUD_l3_0020_D03_Dr_Sato_20_5dpi_BANAL_312_h_S20.230323_Novaseq_S4_TruseqUD_l3_0020_D03_Dr_Sato_20_5dpi_BANAL_312_h_S20_Aligned.out.bam	BANAL-236_Hilum_5dpi	BANAL-236	5dpi	Hilum	"30,622,751"	7.8 	"26,406,469 "	"22,409,808 "	"1,938,245 "	"24,348,053 "	"2,058,416 "	"20,541,635 "	"1,844,487 "	"23,517 "	86.36%	"6,651,452,413 "	"5,532,615,536 "	"2,273,838,129 "	"2,808,626,915 "	"157,328,468 "	"292,822,024 "	"23,592,806 "	"286,032 "	41.10%	50.76%	2.84%	5.29%	91.86%	98.80%
3	Dr_Sato	230323_Novaseq_S4_TruseqUD_l3_0021_E03_Dr_Sato_21_5dpi_WK_313_h	bam.230323_Novaseq_S4_TruseqUD_l3_0021_E03_Dr_Sato_21_5dpi_WK_313_h_S21.230323_Novaseq_S4_TruseqUD_l3_0021_E03_Dr_Sato_21_5dpi_WK_313_h_S21_Aligned.out.bam	WK-521_Hilum_5dpi	WK-521	5dpi	Hilum	"57,338,651"	8.1 	"50,023,894 "	"43,654,598 "	"2,451,159 "	"46,105,757 "	"3,918,137 "	"40,824,642 "	"2,789,883 "	"39,752 "	89.77%	"13,078,726,515 "	"11,233,572,202 "	"5,426,585,764 "	"5,107,001,761 "	"216,266,771 "	"483,717,906 "	"46,715,537 "	"507,341 "	48.31%	45.46%	1.93%	4.31%	93.77%	98.93%
3	Dr_Sato	230323_Novaseq_S4_TruseqUD_l3_0022_F03_Dr_Sato_22_5dpi_WK_314_h	bam.230323_Novaseq_S4_TruseqUD_l3_0022_F03_Dr_Sato_22_5dpi_WK_314_h_S22.230323_Novaseq_S4_TruseqUD_l3_0022_F03_Dr_Sato_22_5dpi_WK_314_h_S22_Aligned.out.bam	WK-521_Hilum_5dpi	WK-521	5dpi	Hilum	"30,260,965"	7.0 	"26,399,825 "	"22,990,469 "	"1,342,944 "	"24,333,413 "	"2,066,412 "	"21,325,757 "	"1,648,040 "	"16,504 "	89.57%	"6,693,521,892 "	"5,742,504,212 "	"2,395,212,461 "	"2,943,665,393 "	"113,132,960 "	"290,493,398 "	"24,726,459 "	"258,944 "	41.71%	51.26%	1.97%	5.06%	92.97%	98.96%
3	Dr_Sato	230323_Novaseq_S4_TruseqUD_l3_0023_G03_Dr_Sato_23_5dpi_WK_315_h	bam.230323_Novaseq_S4_TruseqUD_l3_0023_G03_Dr_Sato_23_5dpi_WK_315_h_S23.230323_Novaseq_S4_TruseqUD_l3_0023_G03_Dr_Sato_23_5dpi_WK_315_h_S23_Aligned.out.bam	WK-521_Hilum_5dpi	WK-521	5dpi	Hilum	"30,034,794"	7.6 	"26,575,834 "	"22,680,540 "	"1,053,571 "	"23,734,111 "	"2,841,723 "	"21,263,838 "	"1,396,329 "	"20,206 "	69.85%	"7,036,717,291 "	"5,923,017,631 "	"2,908,173,818 "	"2,654,396,624 "	"107,344,998 "	"253,102,191 "	"24,231,678 "	"235,802 "	49.10%	44.81%	1.81%	4.27%	93.91%	99.04%
3	Dr_Sato	230323_Novaseq_S4_TruseqUD_l3_0024_H03_Dr_Sato_24_5dpi_WK_316_h	bam.230323_Novaseq_S4_TruseqUD_l3_0024_H03_Dr_Sato_24_5dpi_WK_316_h_S24.230323_Novaseq_S4_TruseqUD_l3_0024_H03_Dr_Sato_24_5dpi_WK_316_h_S24_Aligned.out.bam	WK-521_Hilum_5dpi	WK-521	5dpi	Hilum	"43,340,403"	8.1 	"37,224,818 "	"32,583,593 "	"1,338,955 "	"33,922,548 "	"3,302,270 "	"30,880,751 "	"1,674,447 "	"27,848 "	72.67%	"10,193,663,057 "	"8,796,803,551 "	"5,051,638,204 "	"3,281,874,752 "	"154,217,513 "	"309,073,082 "	"33,276,363 "	"234,727 "	57.43%	37.31%	1.75%	3.51%	94.73%	99.30%
3	Dr_Sato	230323_Novaseq_S4_TruseqUD_l3_0025_A04_Dr_Sato_25_5dpi_delFCS_317_h	bam.230323_Novaseq_S4_TruseqUD_l3_0025_A04_Dr_Sato_25_5dpi_delFCS_317_h_S25.230323_Novaseq_S4_TruseqUD_l3_0025_A04_Dr_Sato_25_5dpi_delFCS_317_h_S25_Aligned.out.bam	WK-521 dFCS_Hilum_5dpi	WK-521 dFCS	5dpi	Hilum	"57,677,558"	9.9 	"50,454,949 "	"44,704,023 "	"1,510,613 "	46214636	4240313	"42,348,593 "	"2,311,041 "	"43,717 "	69.64%	"13,886,092,003 "	"12,136,715,361 "	"7,333,350,865 "	"4,135,586,477 "	"260,736,298 "	"407,041,721 "	"42,874,192 "	"231,771 "	60.42%	34.08%	2.15%	3.35%	94.50%	99.46%
3	Dr_Sato	230323_Novaseq_S4_TruseqUD_l3_0026_B04_Dr_Sato_26_5dpi_delFCS_318_h	bam.230323_Novaseq_S4_TruseqUD_l3_0026_B04_Dr_Sato_26_5dpi_delFCS_318_h_S26.230323_Novaseq_S4_TruseqUD_l3_0026_B04_Dr_Sato_26_5dpi_delFCS_318_h_S26_Aligned.out.bam	WK-521 dFCS_Hilum_5dpi	WK-521 dFCS	5dpi	Hilum	"48,450,282"	9.5 	"41,937,052 "	"37,236,108 "	"1,178,955 "	"38,415,063 "	"3,521,989 "	"35,013,779 "	"2,191,942 "	"29,865 "	71.44%	"11,306,347,472 "	"9,889,637,296 "	"5,759,013,815 "	"3,513,275,903 "	"257,464,306 "	"359,883,272 "	"34,597,548 "	"186,626 "	58.23%	35.52%	2.60%	3.64%	93.76%	99.46%
